Timestamp,pick any username,Any random Question,Choose hypothetical date a question was posted(from 2017 to 2019),Choose hypothetical time a question was posted,Any random answer,Choose hypothetical date a question was posted(from 2017 to 2019,Choose hypothetical time an answer was posted
8/14/2019 18:37:27,LUL,When will Flint MI have good water?,9/1/2017,9:56:00 AM,Couple years,10/1/2017,10:55:00 AM
8/14/2019 18:38:13,asljsdlfjk,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusm",7/2/2019,5:18:00 AM,"veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute iru",6/22/2017,3:34:00 AM
8/14/2019 18:39:18,blight,what happened to the kingnappy?,6/24/2019,8:27:00 AM,his new username is @blainesmagmar on some social media,6/25/2019,2:45:00 PM
8/14/2019 18:41:49,thatonegamer,how was your day?,4/8/2018,12:34:00 PM,yes,4/20/2019,3:22:00 AM
8/14/2019 18:42:49,Youngterp,What day is in 2 days?,4/14/2019,3:00:00 AM,24,12/31/2018,2:30:00 AM
8/14/2019 18:43:01,Obby,What's the square root of the out put of Blue times Red,8/10/2019,9:45:00 AM,Bagel,7/20/2019,12:23:00 PM
8/14/2019 18:43:01,Mario11243,Favorite place to relax?,4/8/2018,11:42:00 PM,Starbucks,10/10/2018,12:11:00 PM
8/14/2019 18:53:06,TheWhiterOne,Why is mental health only starting to gain importance in media now?,8/14/2019,10:00:00 AM,I dont know. It should always have been talked about,8/14/2019,10:00:00 PM
8/14/2019 18:53:37,Bob,What is the velocity of a football thrown across 50 meters with 20 pounds of force?,3/24/2019,3:10:00 PM,30mph/square foot,5/16/2019,4:43:00 PM
8/14/2019 18:54:35,Smallboi,Why do cowboys ride horses but not cows?,7/27/2018,2:20:00 AM,I have no clue,4/6/2019,12:34:00 PM
8/14/2019 18:57:14,AquaDragon82,What is favorite type of weather?,8/27/2019,2:37:00 AM,Rainy with no thunder clouds,11/2/2019,7:17:00 AM
8/14/2019 18:58:34,scelerisque,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2/18/2019,1:13:00 AM,Vitae justo eget magna fermentum iaculis eu non diam phasellus.,5/19/2019,9:17:00 PM
8/14/2019 18:58:59,SomeGuy29,What is your least favorite animal?,3/22/2017,3:01:00 AM,Pangolin,1/9/2019,2:12:00 PM
8/14/2019 19:00:28,SomeDude77,"When you think of lava, what is the first thing you think of?",4/16/2017,9:59:00 AM,It drips,4/18/2017,11:12:00 AM
8/14/2019 19:01:51,SomeMale62,Who’s a real cool kid?,7/3/2019,10:13:00 AM,Twit,7/3/2019,5:32:00 PM
8/14/2019 19:01:57,sed,Viverra aliquet eget sit amet tellus cras adipiscing enim.,12/18/2018,4:00:00 PM,Tempus iaculis urna id volutpat.,12/19/2018,11:11:00 PM
8/14/2019 19:03:57,Vitae,Suscipit adipiscing bibendum est ultricies. Sapien eget mi proin sed libero.,1/13/2019,3:12:00 AM,Molestie at elementum eu facilisis.,1/28/2019,9:56:00 AM
8/14/2019 19:05:19,nec, Dui accumsan sit amet nulla facilisi morbi tempus iaculis urna. ,12/30/2018,2:59:00 AM,Amet risus nullam eget felis eget nunc.,1/1/2019,7:00:00 PM
8/14/2019 19:06:35,Odio, Feugiat sed lectus vestibulum mattis ullamcorper velit sed.,7/7/2019,7:07:00 PM,Sed viverra tellus in hac habitasse platea dictumst vestibulum rhoncus.,8/8/2019,10:10:00 AM
8/14/2019 19:07:59,Cursus,Turpis egestas pretium aenean pharetra magna.,3/31/2019,12:12:00 PM, Arcu vitae elementum curabitur vitae nunc sed velit dignissim.,4/5/2019,3:08:00 PM
8/14/2019 19:26:34,Mike,Lul,12/8/2019,4:32:00 AM,Gev ,11/27/2019,12:34:00 PM
8/14/2019 19:28:14,MarshadowXD,When is the last time you went to see a doctor?,8/5/2019,4:23:00 PM,Last month.,8/4/2019,5:40:00 PM
8/14/2019 19:35:45,Opera707,Favourite Pokemon,4/20/2019,4:20:00 AM,Is Weed a possible solution to world peace?,4/20/2019,4:20:00 PM
